actor_id,actor_name,degree_centrality,degree
nm0001130,Ted Demme,8.926446084265651e-05,3
nm0942147,Katharina Wressnig,8.926446084265651e-05,3
nm0765597,Peter Sarsgaard,0.0027671982861223517,93
nm0050337,Angeline Ball,0.00017852892168531301,6
nm0523186,Geoffrey Lower,0.00017852892168531301,6
nm0000308,Ernest Borgnine,0.0012497024517971911,42
nm0107281,Eileen Brennan,0.00017852892168531301,6
nm0788947,Jeffrey Sharmat,8.926446084265651e-05,3
nm0768217,Stephanie Sawyer,8.926446084265651e-05,3
nm0000213,Winona Ryder,0.0014579861937633898,49
nm0001035,Ben Chaplin,0.0005355867650559391,18
nm0944077,Sarah Wynter,0.0004463223042132826,15
nm0001311,Philip Baker Hall,0.0004463223042132826,15
nm0350079,Luis Guzmán,0.001606760295167817,54
nm0001505,Joe Mantegna,0.0015770054748869317,53
nm0001075,Peter Coyote,0.0022911211616281836,77
nm0001689,Mercedes Ruehl,0.00035705784337062603,12
nm0000155,Whoopi Goldberg,0.0012497024517971911,42
nm0611932,Peter Mullan,0.0014877410140442752,50
nm0226820,Stephen Dillane,0.0011604379909545346,39
nm0048379,David Aaron Baker,0.00026779338252796953,9
nm0005203,Mary McCormack,0.0006248512258985956,21
nm0000330,Stockard Channing,0.0005355867650559391,18
nm0001714,Campbell Scott,0.0012199476315163057,41
nm0000193,Demi Moore,0.0012199476315163057,41
nm0258250,Eloise Eonnet,8.926446084265651e-05,3
nm0196718,Hadrian Dagannaud-Brouard,8.926446084265651e-05,3
nm1124035,Chaya Cuénot,8.926446084265651e-05,3
nm0599715,Dan Montgomery Jr.,8.926446084265651e-05,3
nm0657760,Aleksa Palladino,0.0004463223042132826,15
nm0641437,Peg O'Keef,8.926446084265651e-05,3
nm0001602,Guy Pearce,0.002886217567245894,97
nm0001426,Ben Kingsley,0.00383837181623423,129
nm0918135,Matt Weinberg,8.926446084265651e-05,3
nm0297229,Jason Fuchs,8.926446084265651e-05,3
nm0000148,Harrison Ford,0.0014282313734825041,48
nm0000201,Michelle Pfeiffer,0.0013687217329207333,46
nm0870007,Katharine Towne,0.00035705784337062603,12
nm0001584,Miranda Otto,0.0009819090692692216,33
nm0001454,Martin Lawrence,0.0012794572720780766,43
nm0000491,John Leguizamo,0.0031540109497738633,106
nm0000444,Glenne Headly,0.0006248512258985956,21
nm0000675,Jeanne Tripplehorn,0.0007141156867412521,24
nm0001629,Kevin Pollak,0.0017555343965722447,59
nm0000158,Tom Hanks,0.002558914544156153,86
nm0000166,Helen Hunt,0.0013389669126398476,45
nm0584052,Paul Sanchez,8.926446084265651e-05,3
nm0925096,Lari White,8.926446084265651e-05,3
nm0000114,Steve Buscemi,0.0019340633182575576,65
nm0000301,Thora Birch,0.0012497024517971911,42
nm0424060,Scarlett Johansson,0.0027671982861223517,93
nm0000605,Brad Renfro,0.0006248512258985956,21
nm0001853,Vanessa Williams,0.00026779338252796953,9
nm0000560,Nick Nolte,0.0019043084979766722,64
nm0001447,Nathan Lane,0.0004463223042132826,15
nm0001435,Lisa Kudrow,0.0011604379909545346,39
nm0000527,Walter Matthau,8.926446084265651e-05,3
